UACE20,GEOID20,GEOIDFQ20,NAME20,NAMELSAD20,urban_mean,STATEFP,GEOID,STUSPS,NAME,rural_mean,urban_inc
47719,47719,400C200US47719,"Lansing, MI","Lansing, MI Urban Area",7.272038455,26,26,MI,Michigan,5.145389178,2.127
36514,36514,400C200US36514,"Hammond, LA","Hammond, LA Urban Area",8.511469815,22,22,LA,Louisiana,7.563901787,0.948
40780,40780,400C200US40780,"Huntsville, AL","Huntsville, AL Urban Area",7.471209737,1,1,AL,Alabama,7.071756628,0.399
41212,41212,400C200US41212,"Indianapolis, IN","Indianapolis, IN Urban Area",8.527893734,18,18,IN,Indiana,7.004757482,1.523
24607,24607,400C200US24607,"Dover--Rochester, NH--ME","Dover--Rochester, NH--ME Urban Area",5.913450922,33,33,NH,New Hampshire,4.595013387,1.318
73774,73774,400C200US73774,"Redding, CA","Redding, CA Urban Area",6.068082044,6,6,CA,California,5.820606312,0.247
77743,77743,400C200US77743,"St. Joseph, MO--KS","St. Joseph, MO--KS Urban Area",6.902829414,29,29,MO,Missouri,6.404036629,0.499
58330,58330,400C200US58330,"Monroe, LA","Monroe, LA Urban Area",8.155404372,22,22,LA,Louisiana,7.563901787,0.592
46045,46045,400C200US46045,"Lafayette, LA","Lafayette, LA Urban Area",8.016693419,22,22,LA,Louisiana,7.563901787,0.453
62677,62677,400C200US62677,"New Orleans, LA","New Orleans, LA Urban Area",8.800129389,22,22,LA,Louisiana,7.563901787,1.236
82468,82468,400C200US82468,"Slidell, LA","Slidell, LA Urban Area",8.60414224,22,22,LA,Louisiana,7.563901787,1.04
82225,82225,400C200US82225,"Sioux City, IA--NE--SD","Sioux City, IA--NE--SD Urban Area",5.88299023,19,19,IA,Iowa,6.071900243,-0.189
57007,57007,400C200US57007,"Midland, TX","Midland, TX Urban Area",7.530780425,48,48,TX,Texas,6.463495491,1.067
89029,89029,400C200US89029,"Tupelo, MS","Tupelo, MS Urban Area",7.638750487,28,28,MS,Mississippi,7.152878888,0.486
7786,7786,400C200US07786,"Birmingham, AL","Birmingham, AL Urban Area",8.082385499,1,1,AL,Alabama,7.071756628,1.011
89110,89110,400C200US89110,"Tuscaloosa, AL","Tuscaloosa, AL Urban Area",8.331215101,1,1,AL,Alabama,7.071756628,1.259
42211,42211,400C200US42211,"Jackson, MS","Jackson, MS Urban Area",7.825877231,28,28,MS,Mississippi,7.152878888,0.673
22690,22690,400C200US22690,"Decatur, AL","Decatur, AL Urban Area",7.647909454,1,1,AL,Alabama,7.071756628,0.576
42400,42400,400C200US42400,"Jacksonville, NC","Jacksonville, NC Urban Area",6.616008619,37,37,NC,North Carolina,5.974952781,0.641
,,,,,,,,,,,
50959,50959,400C200US50959,"Logan, UT","Logan, UT Urban Area",6.421864244,49,49,UT,Utah,4.422666341,1.999
7732,7732,400C200US07732,"Binghamton, NY","Binghamton, NY Urban Area",5.978328726,36,36,NY,New York,5.018485272,0.96
68509,68509,400C200US68509,"Peoria, IL","Peoria, IL Urban Area",7.700535899,17,17,IL,Illinois,6.723665264,0.977
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
